Assignment Name,Due Date,Summary
AttLect4,2023-01-31 23:59,
Discussion Board #3 We Are What We Keep--due Jan 31,2023-01-31 23:59,
"HW 5: Substitution, Indefinite Integrals",2023-02-01 23:59,
"HW 6: Substitution, Definite Integrals",2023-02-01 23:59,
AttLab4,2023-02-03 17:00,
"Resume Re-Submits - Due Sunday, 2/5 at Midnight",2023-02-05 23:59,
Mid Term Self Evaluation,2023-02-06 23:59,
Homework 4,2023-02-06 23:59,
Lab 4 - User Stories,2023-02-06 23:59,
Reflection 4,2023-02-06 23:59,
AttLect5,2023-02-07 17:00,
Discussion Board #4--Did the objects that surrounded you have a bearing on your life?,2023-02-07 23:59,
HW 7: Area Between Curves,2023-02-08 23:59,
HW 8: Volumes,2023-02-08 23:59,
AttLab5,2023-02-10 17:00,
Reflection 5,2023-02-13 23:59,
CLI and GIT Assignment,2023-02-13 23:59,
Week 5 Lab,2023-02-13 23:59,
AttLect6,2023-02-14 17:00,
Q2,2023-02-14 18:00,
AttLab6,2023-02-17 17:00,
Week 6 Homework,2023-02-20 23:59,
Lab 6,2023-02-20 23:59,
Week 6 Reflection,2023-02-20 23:59,
AttLect7,2023-02-21 17:00,
AttLab7,2023-02-24 17:00,
Reflection 7,2023-02-27 23:59,
Week7HW,2023-02-27 23:59,Self and Peer evaluation through google form
Week 7 Lab,2023-02-27 23:59,
AttLect8,2023-02-28 17:00,
AttLab8,2023-03-03 17:00,
Lab 8,2023-03-06 23:59,
Reflection 8,2023-03-06 23:59,
Using Feedback,2023-03-06 23:59,
AttLect9,2023-03-07 17:00,
Q3,2023-03-07 17:00,
AttLab9,2023-03-10 23:59,
Week 9 Lab,2023-03-13 23:59,
Presentation Outline,2023-03-13 23:59,
Reflection 9,2023-03-13 23:59,
AttLect10,2023-03-14 23:59,
FinalPres,2023-03-20 23:59,
Final Self Evaluation,2023-03-20 23:59,
Final Presentations,2023-03-20 23:59,
Feedback and Surveys,2023-03-20 23:59,
